"name","Fluorophore","Antigen","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PD_AD_CD3 Spark Blue 550 (Cells).fcs","Spark Blue 550","CD3","Cells","B3","Unstained",47.9114265441895,157.647735595703,380.644508361816,513.52490234375,751.886611938477,1283.57899475098,2253.61282348633,2650.96536254883,1967.79180908203,578.242614746094,184.295425415039,91.388671875,48.154052734375,49.6666870117188,41.1698226928711,43.1440124511719,29.1281814575195,149.435302734375,216.962677001953,269.954727172852,568.400909423828,3511.72933959961,11721.4582824707,6882.59020996094,4183.79165649414,3781.61846923828,1229.50405883789,573.551696777344,457.569549560547,344.599533081055,239.816696166992,103.87818145752,1769.71366882324,13358.8605041504,36306.8207092285,14893.0526123047,11008.3653869629,6629.10702514648,3446.90252685547,2366.76119995117,2188.77870178223,1250.15754699707,791.406723022461,649.32585144043,470.104347229004,537.848236083984,654.859146118164,301.269256591797,165.632598876953,-21.3611297607422,-41.5022735595703,-57.3591384887695,-81.9889831542969,-62.5239334106445,-79.7377815246582,-58.1738357543945,-3.97345733642578,-21.2150039672852,-37.2552261352539,-40.820556640625,-42.4510078430176,-44.1977005004883,-42.7382736206055,-53.0469455718994
"PD_AD_CD4 BV605 (Cells).fcs","BV605","CD4","Cells","V10","Unstained",12.8318061828613,107.532585144043,414.45499420166,514.758514404297,652.566421508789,1038.84577941895,1562.5539855957,957.583709716797,7410.11370849609,15219.8587036133,7556.02403259277,3083.36292266846,2343.4566116333,2115.00174713135,1277.02826690674,908.01594543457,5438.71283721924,7274.79446411133,6201.49758911133,3334.64472961426,1827.0107421875,1106.21487426758,1231.7194519043,15738.5006103516,61937.4774475098,77240.3753051758,36869.2455749512,14990.4652709961,11690.7858581543,7878.0033416748,4857.99598693848,2096.28807067871,330.419662475586,292.231750488281,329.865936279297,597.949493408203,3047.97964477539,2917.25497436523,2024.69854736328,1259.79922485352,954.119644165039,543.871780395508,319.61750793457,210.021575927734,120.499809265137,109.816345214844,5472.64503479004,26341.042388916,27014.2047576904,17178.9872741699,10354.7404327393,7018.44625854492,7812.70590209961,3097.2413482666,1852.16471862793,1052.2459564209,53.0699577331543,38.2908172607422,10.4167175292969,-8.84053039550781,-15.3009757995605,-30.6548538208008,-42.2055015563965,-49.9690856933594
"PD_AD_CD45 Alexa Fluor 700 (Cells).fcs","Alexa Fluor 700","CD45","Cells","R4","Unstained",39.9209594726562,191.391342163086,449.386192321777,613.441925048828,896.377090454102,1552.05537414551,2458.65298461914,1460.52407836914,1013.41400146484,263.367218017578,109.770004272461,780.452369689941,3577.62494659424,3660.33023834229,2015.69544219971,1554.84144592285,35.1231002807617,174.151702880859,270.421966552734,309.77458190918,466.009521484375,492.843017578125,663.657989501953,334.730651855469,100.829681396484,46.9497375488281,46.0111694335938,2979.38299560547,16911.039276123,12116.7433319092,6811.44789123535,3363.65367126465,367.440048217773,319.302032470703,362.736206054688,115.164916992188,88.3997955322266,12.4608459472656,-43.9522399902344,16.7924957275391,788.638442993164,2151.64497375488,1582.31632995605,924.086990356445,601.307136535645,696.337982177734,14.0652008056641,-81.890811920166,-46.7931442260742,-12.3872985839844,538.280227661133,4430.6706237793,26257.7430114746,11539.4859771729,6517.08128356934,4340.29112243652,267.09521484375,3693.58110046387,34112.2947616577,93678.7735290527,85392.415687561,42339.2509536743,40123.3953857422,23132.0821609497
"PD_AD_CD8 BV510 (Cells).fcs","BV510","CD8","Cells","V7","Unstained",47.745719909668,168.583938598633,405.459403991699,687.052398681641,1657.06843566895,6056.14308166504,28732.9535217285,24029.3624572754,19704.2694702148,7217.32208251953,2632.68711853027,1265.87097930908,889.399482727051,854.983741760254,575.646614074707,419.914260864258,146.558876037598,1917.51150512695,7656.79934692383,16512.741897583,43744.2552490234,45551.4097595215,62582.7600402832,43756.0098876953,27892.0555725098,28001.8440551758,9524.10202026367,4402.01751708984,3256.96701049805,2259.37101745605,1567.03248596191,675.671432495117,475.408004760742,425.197906494141,471.948333740234,180.523773193359,137.036712646484,47.5701293945312,-42.2913970947266,-56.1489105224609,-78.8491973876953,-65.6518402099609,-60.3157501220703,-51.5423889160156,-56.3550643920898,-74.1049652099609,18.5394134521484,-61.8997344970703,-63.8940658569336,-117.748779296875,-94.5948104858398,-119.998054504395,-135.79621887207,-89.3488464355469,-91.0623245239258,-51.8133392333984,8.13948822021484,-10.0495529174805,-27.2596282958984,-39.0654983520508,-41.5640830993652,-29.8899230957031,-41.8294830322266,-54.2091388702393
"PD_AD_Viability 7-AAD (Cells).fcs","7-AAD","Viability","Cells","YG4","DeadCells",7.36061859130859,38.7444152832031,49.0199699401855,39.5289688110352,59.9040756225586,69.0830993652344,42.4027099609375,-12.6502227783203,196.173736572266,1149.62153625488,2928.80438232422,1965.38562774658,1671.00834655762,1734.46220397949,1198.70687866211,873.602386474609,-51.980583190918,-26.9187164306641,-0.5679931640625,66.1036834716797,30.6559143066406,24.071533203125,-5.95950317382812,482.051666259766,2159.60290527344,10803.8823242188,18692.0474853516,12353.5676879883,11035.2030563354,8563.16632080078,6202.67321777344,2897.63273620605,-3.64033508300781,-22.0808563232422,-12.5048828125,1077.74024963379,5421.59997558594,19896.5250244141,51838.3084259033,44049.3694152832,46890.6168823242,29004.174911499,18636.2906265259,16188.8271484375,11860.4773178101,13218.021697998,3297.09773254395,12313.4884338379,38524.620010376,118687.319824219,96488.5104675293,88772.3690032959,106782.250457764,49219.6489562988,36415.1737518311,22518.6613311768,1678.15619659424,2260.4895324707,2283.06388092041,1733.29011535645,1351.2710723877,936.284873962402,957.295043945312,486.93643951416
